outlet_no,business_type,city,state,zip,store_location,avg_age,blue_collar,white_collar,female,male,total_household_size ,total_household_income,actual_credit_score,latitude,longitude,employee_size,total_sales
657,1,PETERSBURG,WV,26847,AT-WORK,42.24,47.39,30.06,51.16,48.84,2.32,44764000,100,39.016813,-79.138253,361,47252
658,1,SCOTTSDALE,AZ,85258,AT-WORK,50.92,16.16,46.55,60.24,39.76,1.45,65104000,92,33.581513,-111.883399,15,2420
662,1,SILVER SPRING,MD,20906,TRAVEL/TRANSPORTATION/HOSPITALITY,80.12,0,61.54,70.92,29.08,1.24,61627000,94,39.103133,-77.074106,190,12906
664,1,PORTLAND,OR,97213,EATING & DRINKING,38.74,35.85,46.58,51.11,48.89,2.03,55966000,88,45.527524,-122.613644,100,15939
670,1,BIRMINGHAM,AL,35249,THIRD PARTY (NON-CONSUMER),25.88,31.05,31.5,54.48,45.52,1.74,29786000,100,33.505894,-86.803099,400,57725
671,1,SCOTTSDALE,AZ,85258,EATING & DRINKING,50.92,16.16,46.55,60.24,39.76,1.45,65104000,85,33.572766,-111.885337,6,414
675,1,CEDARVILLE,CA,96104,AT-WORK,45.64,43.61,38.01,50.8,49.2,2.15,47173000,88,41.526791,-120.171915,80,14630
684,1,CLERMONT,FL,34711,ENTERTAINMENT/RECREATION/LEISURE,37.99,29.49,47.29,52.04,47.96,2.71,72256000,86,28.552738,-81.72035,8,1690
685,1,FORT WAYNE,IN,46805,EATING & DRINKING,48.09,70.34,29.67,61.73,38.27,1.89,28942000,87,41.090265,-85.095455,12,1043
688,1,DU BOIS,PA,15801,AT-WORK,46.23,39.44,39.28,56.51,43.49,2.22,85350000,86,41.112867,-78.746251,200,5440
697,1,ASHEVILLE,NC,28801,AT-WORK,33.98,47.33,18.42,54.33,45.67,2.25,41287000,94,35.58241,-82.552443,3,501
700,1,WASHINGTON,PA,15301,AT-WORK,45.19,33.02,43.72,53.47,46.53,2.12,63001000,91,40.181044,-80.26296,18,1562
710,1,SILVER SPRING,MD,20904,THIRD PARTY (NON-CONSUMER),40.41,53.55,18.35,49.86,50.14,3.43,139005000,94,39.05904,-76.997334,10,1746
723,1,SAN ANTONIO,TX,78229,EDUCATIONAL,45.98,22.41,45.44,46.41,53.59,1.56,45403000,94,29.504795,-98.576704,3,548
727,4,SHREVEPORT,LA,71103,AT-WORK,34.62,52.34,33.18,54.52,45.48,2.67,29574000,80,32.484906,-93.779435,30,4217
732,1,VACAVILLE,CA,95687,THIRD PARTY (NON-CONSUMER),44.17,41.8,47.75,56.84,43.16,1.97,67959000,78,38.368614,-121.957334,3,675
733,1,MEADVILLE,PA,16335,THIRD PARTY (NON-CONSUMER),31.39,18.17,35.7,53.57,46.43,2.3,79501000,81,41.651377,-80.146754,3,526
737,1,DRAPER,UT,84020,AT-WORK,35.06,31.48,58.21,51.77,48.23,3.52,86865000,98,40.520786,-111.865526,100,3200
739,4,WAVERLY,OH,45690,AT-WORK,37.64,72.73,25.41,50.56,49.44,2.38,45998000,98,39.11786,-82.99786,50,8320
742,1,LAS VEGAS,NV,89128,THIRD PARTY (NON-CONSUMER),34.06,46.79,46.32,48.82,51.18,3.37,69098000,100,36.159705,-115.249675,250,46667
755,1,CENTERVILLE,OH,45449,AT-WORK,44.67,24.87,51.78,50.7,49.3,2.28,60586000,83,39.633854,-84.206672,6,799
761,1,CANANDAIGUA,NY,14424,AT-WORK,43.99,21.94,50.98,51.83,48.17,2.25,87956000,90,42.90085,-77.27062,3,544
762,1,MOUNT PLEASANT,MI,48858,THIRD PARTY (NON-CONSUMER),34.54,42.56,25.51,56.21,43.79,1.86,30472000,88,43.591705,-84.754591,130,8166
766,1,ROCHESTER,NY,14612,THIRD PARTY (NON-CONSUMER),40.59,36.45,27.86,49.93,50.07,2.2,74317000,98,43.265606,-77.662235,185,26545
771,1,HOUSTON,TX,77057,THIRD PARTY (NON-CONSUMER),27.5,65.04,24.97,45.48,54.52,2.34,33643000,90,29.714237,-95.454491,3,548
772,1,MARIETTA,OH,45750,AT-WORK,45.55,38.06,40.43,51.37,48.63,2.24,53727000,93,39.416919,-81.46721,151,8781
778,4,SHREVEPORT,LA,71103,AT-WORK,34.62,52.34,33.18,54.52,45.48,2.67,29574000,85,32.485752,-93.776391,30,4217
786,4,LAREDO,TX,78041,AT-WORK,33.73,46.52,58.14,55.5,44.5,2.83,50020000,98,27.506652,-99.488605,25,4566
787,1,SHREVEPORT,LA,71103,AT-WORK,43.14,68.65,22.28,52.42,47.58,2.04,22662000,80,32.495444,-93.768421,102,6172
793,1,DAYTON,OH,45459,THIRD PARTY (NON-CONSUMER),43.91,24.15,61.07,52.31,47.69,2.18,92378000,96,39.649807,-84.156619,4,475
797,1,MANKATO,MN,56001,AT-WORK,52.75,58.16,27.38,59.27,40.73,1.69,56890000,96,44.170412,-93.961084,30,3908
809,4,HARLINGEN,TX,78550,AT-WORK,35.83,23.43,52.14,55.68,44.32,2.59,52917000,100,26.158701,-97.674358,20,3653
814,1,MCALLEN,TX,78501,AT-WORK,41.46,69.72,24.3,54.52,45.48,2.49,25242000,85,26.209452,-98.219195,50,3191
816,4,SHREVEPORT,LA,71103,AT-WORK,36.57,58.38,28.28,52.81,47.19,2.73,28109000,90,32.482131,-93.758078,30,4524
818,1,MASON CITY,IA,50401,EATING & DRINKING,42,59.38,33.82,51.49,48.51,1.93,49268000,82,43.147697,-93.221626,4,415
832,1,BETHLEHEM,PA,18017,AT-WORK,40.96,14.56,43.97,49.9,50.1,2.69,161784000,91,40.67428,-75.364183,3,526
837,4,BETHLEHEM,PA,18017,THIRD PARTY (NON-CONSUMER),45.38,20.09,47.72,50.72,49.28,2.56,101136000,80,40.65933,-75.416184,3,551
841,1,BETHLEHEM,PA,18017,AT-WORK,62.34,31.17,44.72,61.98,38.02,1.33,29932000,78,40.644637,-75.407893,10000,1424392
845,1,GLASGOW,KY,42141,OTHER SHOPPING & SERVICES,39.31,45.43,37.7,46.84,53.16,2.14,54113000,78,37.005769,-85.924649,3,528
254,1,RAPID CITY,SD,57702,AT-WORK,46.15,47.21,30.08,53.07,46.93,2.21,64589000,93,44.07516,-103.251946,3,474
257,1,RAPID CITY,SD,57702,AT-WORK,37.34,42.41,34.52,50.06,49.94,1.99,45196000,86,44.080454,-103.2617,6,519
263,1,GLASGOW,KY,42141,AT-WORK,42.89,38.49,44,52.41,47.59,2.24,47119000,95,37.013484,-85.905456,20,3525
270,1,GLASGOW,KY,42141,AT-WORK,49.47,31.96,38.56,58.01,41.99,1.95,50159000,91,37.010167,-85.897964,3,528
277,4,GLASGOW,KY,42141,AT-WORK,49.47,31.96,38.56,58.01,41.99,1.95,50159000,97,37.010549,-85.902499,27,2046
281,1,WEST VALLEY CITY,UT,84120,AT-WORK,28.02,43.1,37.15,48.55,51.45,3.26,71757000,100,40.715001,-111.987715,500,72500
283,1,TOWSON,MD,21286,THIRD PARTY (NON-CONSUMER),40.36,10.47,46.33,52.25,47.75,2.68,142706000,88,39.384036,-76.60369,65,4555
287,1,HOT SPRINGS NATIO,AR,71913,THIRD PARTY (NON-CONSUMER),48.79,37.43,43.78,54.32,45.68,1.68,36784000,83,34.466106,-93.067913,85,11358
288,1,MEADVILLE,PA,16335,THIRD PARTY (NON-CONSUMER),46.41,37.24,43.92,52.66,47.34,2.09,66527000,85,41.620985,-80.171449,47,3546
290,1,HATCH,NM,87937,AT-WORK,32.57,66.01,24.5,48.89,51.11,3.26,43780000,100,32.666463,-107.151535,50,7838
300,1,MOBILE,AL,36607,AT-WORK,37.57,43.48,37.08,53.51,46.49,2.15,64958000,94,30.69152,-88.087234,3,533
319,1,LAKE OSWEGO,OR,97035,AT-WORK,38.14,20.3,54.52,51.63,48.37,2.35,84917000,88,45.401352,-122.742054,12,1912
324,4,DRAPER,UT,84020,AT-WORK,37.03,30.36,48.33,54.5,45.5,2.5,71660000,77,40.537026,-111.891455,11,1611
326,1,LIMA,OH,45804,AT-WORK,40.39,42.31,36.35,52.01,47.99,2.43,56145000,100,40.711175,-84.120015,10,1664
328,1,POULSBO,WA,98370,AT-WORK,51.03,14.11,45.36,57.64,42.36,1.85,69458000,97,47.737557,-122.64253,31,6034
333,1,KNOXVILLE,TN,37920,AT-WORK,46.88,25.62,48.57,56.64,43.36,2.35,87775000,95,35.888004,-83.943573,4,535
345,1,WEST VALLEY CITY,UT,84120,AT-WORK,28.02,43.1,37.15,48.55,51.45,3.26,71757000,85,40.713836,-112.001136,20,2853
356,1,GARDEN GROVE,CA,92843,THIRD PARTY (NON-CONSUMER),40.04,37.09,46.68,50.09,49.91,3.09,65068000,100,33.775109,-117.913168,550,100582
358,1,GIG HARBOR,WA,98335,AT-WORK,48.74,24.25,43.71,54.44,45.56,1.93,81717000,86,47.316806,-122.584731,6,1167
364,1,RAPID CITY,SD,57702,AT-WORK,42.25,43.08,39.53,52.73,47.27,2.45,63496000,96,44.06911,-103.265172,4,451
369,1,KNOXVILLE,TN,37920,AT-WORK,46.88,25.62,48.57,56.64,43.36,2.35,87775000,79,35.887756,-83.938965,6,470
378,1,ASHEVILLE,NC,28801,AT-WORK,37.75,46.81,23,57.8,42.2,2.55,31900000,100,35.57415,-82.555354,15,2505
382,1,OCONOMOWOC,WI,53066,EATING & DRINKING,35.55,29.79,42.47,48.16,51.84,2.96,127304000,88,43.073868,-88.46868,6,536
386,1,CINCINNATI,OH,45219,AT-WORK,40.17,70.39,37.6,51.66,48.34,1.89,18692000,86,39.13063,-84.49973,3,499
402,1,MOUNT MORRIS,IL,61054,AT-WORK,39.47,43.32,28.99,51.6,48.4,2.29,53455000,83,42.04362,-89.422517,6,1113
412,1,ORLANDO,FL,32806,AT-WORK,36.98,59.5,46.07,42,58,1.75,52749000,80,28.5311,-81.380135,3,419
416,1,DRAPER,UT,84020,AT-WORK,37.78,0,0,12.84,87.16,0,110149000,78,40.49098,-111.89305,3,541
417,1,NEW YORK,NY,10032,AT-WORK,31.42,34.67,38.21,54.58,45.42,2.21,64215000,81,40.84177,-73.94424,3,544
419,1,DAYTON,OH,45459,AT-WORK,28.43,39.75,27.38,52.12,47.88,1.8,41321000,93,39.648987,-84.133975,20,1431
429,1,OKLAHOMA CITY,OK,73162,THIRD PARTY (NON-CONSUMER),45.79,18.17,56.85,52.55,47.45,2.49,178569000,87,35.593427,-97.620993,10,1795
435,1,OCONOMOWOC,WI,53066,EATING & DRINKING,46.94,32.91,47.3,52.03,47.97,2.31,117734000,96,43.120852,-88.521698,15,1189
436,1,MCALLEN,TX,78501,THIRD PARTY (NON-CONSUMER),35.04,37.5,34.42,52.52,47.48,2.82,56236000,91,26.191116,-98.224808,3,548
437,1,ATLANTA,GA,30318,AT-WORK,30.81,22.35,38.97,48.22,51.78,1.8,87800000,86,33.804299,-84.414243,7,1373
440,1,OCONOMOWOC,WI,53066,EATING & DRINKING,46.94,32.91,47.3,52.03,47.97,2.31,117734000,86,43.07165,-88.472776,7,1200
444,1,LIVONIA,MI,48152,THIRD PARTY (NON-CONSUMER),51.74,22.69,37.51,55.87,44.13,1.87,75426000,100,42.434914,-83.424454,100,14206
461,1,PITTSBURGH,PA,15232,THIRD PARTY (NON-CONSUMER),42.66,13.43,23.47,51.93,48.07,1.66,73234000,100,40.44968,-79.930659,130,7970
466,1,DODGE CITY,KS,67801,THIRD PARTY (NON-CONSUMER),36.79,60.78,16.47,49.42,50.58,2.81,100563000,98,37.777092,-100.032934,22,1182
473,1,DILLSBURG,PA,17019,THIRD PARTY (NON-CONSUMER),38.61,35.94,46.48,50.23,49.77,2.76,92167000,96,40.124683,-77.022049,32,1901
483,4,HUNTSVILLE,TN,37756,AT-WORK,41.67,59.74,27.71,50.41,49.59,2.21,32451000,88,36.41445,-84.475538,5,936
485,1,BOWLING GREEN,KY,42101,AT-WORK,44.08,42.43,25.14,54.19,45.81,1.85,30645000,91,36.996012,-86.429654,3,528
487,1,KANSAS CITY,KS,66160,THIRD PARTY (NON-CONSUMER),34.47,51.93,33.04,50.67,49.33,2.67,50149000,90,39.055726,-94.611824,3,475
488,1,MARIETTA,OH,45750,AT-WORK,47.81,43.39,32.23,56.79,43.21,1.98,62627000,91,39.45537,-81.437839,45,2536
490,1,KNOXVILLE,TN,37920,AT-WORK,39.11,37.79,42.4,48.24,51.76,2.31,49408000,93,35.955952,-83.915558,3,562
492,4,JACKSONVILLE,FL,32207,AT-WORK,34.41,56.52,30.7,47.89,52.11,2.71,51287000,95,30.280604,-81.604406,3,633
498,1,SILVER SPRING,MD,20904,AT-WORK,65.36,23.2,35.85,61.74,38.26,1.64,60707000,91,39.056813,-76.951118,1300,88306
501,1,DULUTH,MN,55805,THIRD PARTY (NON-CONSUMER),29.69,35.82,40.87,49.94,50.06,2.09,20950000,84,46.793805,-92.095729,25,3345
510,1,JACKSON,MS,39204,THIRD PARTY (NON-CONSUMER),28.96,55.69,29.68,56.34,43.66,2.54,28302000,100,32.286969,-90.255695,850,38435
515,1,HARLINGEN,TX,78550,THIRD PARTY (NON-CONSUMER),35.83,23.43,52.14,55.68,44.32,2.59,52917000,93,26.166581,-97.681173,7,1278
517,1,DULUTH,MN,55805,THIRD PARTY (NON-CONSUMER),28.61,44.79,25.68,50.57,49.43,2.16,31710000,96,46.799979,-92.083715,4,471
521,1,SAN ANTONIO,TX,78229,AT-WORK,42.54,41.83,52.17,56.47,43.53,1.86,40045000,88,29.494013,-98.585557,13,804
522,1,OCONOMOWOC,IL,53066,THIRD PARTY (NON-CONSUMER),40,42.16,28.6,51.06,48.94,2.29,97956000,86,43.100129,-88.486611,920,128139
526,1,MOUNT PLEASANT,MI,48858,EATING & DRINKING,42.69,22.16,37.12,53.44,46.56,2.11,65364000,88,43.61377,-84.74698,12,876
529,1,SYRACUSE,NY,13205,AT-WORK,61.28,30.31,41.5,55.39,44.61,1.21,23686000,96,43.009006,-76.133864,2400,201471
547,1,CITRUS HEIGHTS,CA,95610,THIRD PARTY (NON-CONSUMER),45.12,27.01,65.76,53.86,46.14,2.16,59856000,100,38.667296,-121.275012,250,19075
552,1,ROCHESTER,MN,55901,THIRD PARTY (NON-CONSUMER),66.97,45.98,0,59.41,40.59,1.27,65850000,95,44.02534,-92.466123,360,7682
554,1,ONEONTA,NY,13820,THIRD PARTY (NON-CONSUMER),40.56,46.58,37.95,54.13,45.87,2.42,66230000,91,42.449999,-74.996156,17,1045
559,1,LOS LUNAS,NM,87031,EATING & DRINKING,39.24,34.4,36.67,52,48,2.54,60093000,70,34.808077,-106.734105,5,619
561,1,GIBSONIA,PA,15044,EATING & DRINKING,47.05,31.18,50.78,54.46,45.54,2.28,87403000,76,40.653882,-79.959162,18,2563
563,1,MCALLEN,TX,78501,AT-WORK,39.14,22.96,47.96,52.36,47.64,2.65,107091000,98,26.185289,-98.208931,101,6249
568,1,ROBINSON,IL,62454,THIRD PARTY (NON-CONSUMER),40.41,49.86,33.66,46.39,53.61,2.31,58180000,77,39.014571,-87.747222,17,2561
575,1,LANCASTER,OH,43130,AT-WORK,46.21,42.15,38.12,53.58,46.42,2.48,100289000,78,39.726469,-82.654601,70,4070
585,1,LAS VEGAS,NV,89128,THIRD PARTY (NON-CONSUMER),29.11,59.85,29.15,52.11,47.89,2.34,38053000,85,36.21088,-115.249397,3,708
